"Pays","Années","HALE_femmes","HALE_hommes","HALE_WMGap","Code_Pays.x","Statut","LE_hommes","LE_femmes","LE_60_femmes","LE_60_hommes","Mort_inf_filles","Mort_inf_garçons","PIB_habitant","Gini","Mort_adultes_hommes","Mort_adultes_femmes","Dep_sante_PIB","Pop_0_4_filles","Pop_0_4_garçons","Pop_5_9_filles","Pop_5_9_garçons","Pop_10_14_filles","Pop_10_14_garçons","Pop_15_19_filles","Pop_15_19_garçons","Pop_20_24_femmes","Pop_20_24_hommes","Pop_25_29_femmes","Pop_25_29_hommes","Pop_30_34_femmes","Pop_30_34_hommes","Pop_35_39_femmes","Pop_35_39_hommes","Pop_40_44_femmes","Pop_40_44_hommes","Pop_45_49_femmes","Pop_45_49_hommes","Pop_50_54_femmes","Pop_50_54_hommes","Pop_55_59_femmes","Pop_55_59_hommes","Pop_60_64_femmes","Pop_60_64_hommes","Pop_65_69_femmes","Pop_65_69_hommes","Pop_70_74_femmes","Pop_70_74_hommes","Pop_75_79_femmes","Pop_75_79_hommes","Pop_80_plus_femmes","Pop_80_plus_hommes","LE_WMGap","LE_WMGap_60","DPGS","Cancer_thyroïde","Cancer_Estomac","Cancer_Utérus","Cancer_Foie","Cancer_Sein","Cancer_Testicule","VIH_SIDA","LE_WMGap_calc","LE_WMGap60_calc","log_PIB","log_Gini","Code_Pays.y","IDH"
"Brésil",2010,64.90873098,61.41090354,3.49782744,"BRA","Developing",70.392,77.257,22.135,19.1538,14.1,17.7,11403.2821278747,53.3,202.356,98.236,7.94516611,7.47001432796665,7.93362701745636,7.96893638376673,8.44600980405112,8.56112613464651,9.0506593661362,8.50479528563809,8.93636729869325,8.80694104707484,9.13727531352536,8.91934369512752,9.13452449958727,8.23560405188888,8.31799966277619,7.35293498499912,7.35413177861552,6.75913370830688,6.70285140775551,6.39792404409797,6.28127260843138,5.53814232256125,5.35732673971284,4.54744431115549,4.29050078841624,3.48522142947142,3.19262032316049,2.58290697388051,2.34089466683744,2.00978319817261,1.64827331336071,1.47317524847592,1.02247592358317,1.38657285276959,0.853189487900955,6.86500000000001,2.9812,45.02125168,11.7755403062946,264.953632728937,27.606715391092,45.9940817958727,257.945024226673,9.85745393611284,410.503313903007,6.86500000000001,2.9812,9.34165649889954,3.9759363311718,"BRA",0.748
"Brésil",2011,64.98965948,61.53601601,3.45364347,"BRA","Developing",70.654,77.532,22.3304,19.3547,13.5,17,13396.6243562986,52.9,200.627,96.762,7.78819132,7.32163319162617,7.78434374178834,7.77657151260873,8.25215532602943,8.42229550212764,8.91642799039472,8.41679385221525,8.85802886896781,8.61900076359456,8.95698569672414,8.84946062300461,9.07938924474771,8.32412144704741,8.41734410422298,7.42429772781352,7.42977454140484,6.75455037360813,6.69923524287068,6.43368108049973,6.31635790544406,5.65685165905394,5.47494351715475,4.67372759021199,4.41554342840891,3.64732438199019,3.33259101519795,2.65560791129152,2.39975134559808,2.05410077330604,1.71086410277724,1.50470834340407,1.05892124618192,1.46527326659653,0.897342682086446,6.878,2.9757,44.49915695,12.0228323027645,265.234030004746,29.0648794487846,48.1505228214615,264.36936741075,10.144349604888,409.541569730991,6.878,2.9757,9.50275804049435,3.96840333886425,"BRA",0.753
"Brésil",2012,65.25472926,61.72841582,3.52631344,"BRA","Developing",70.945,77.816,22.5022,19.5346,13.1,16.5,12521.7213519966,53.4,197.533,94.646,7.73637724,7.19580990052027,7.65873718906727,7.59734455836977,8.07156005194195,8.24806188093519,8.74346800958258,8.35511930519121,8.8063493848229,8.43755868547431,8.78269508909554,8.74822091045534,8.99013751433323,8.3963261867771,8.50290176210248,7.50478390763607,7.51571055784501,6.77695556394089,6.72282906507037,6.44117500787186,6.32411237546807,5.76774987416348,5.58469615610991,4.79942909404348,4.53978522370028,3.80165114739368,3.47580064913466,2.74708408333078,2.46463049141099,2.10081208302281,1.77168091092222,1.53649223558667,1.10087381013966,1.54542557528711,0.94403175925289,6.87100000000001,2.9676,43.36180878,11.8752593947506,266.012316084393,29.824905147939,49.6731685950555,268.661708220516,10.2754364370376,406.475212183536,6.87100000000001,2.9676,9.4352201233821,3.97781074596615,"BRA",0.758
"Brésil",2013,65.41775961,61.8642389,3.55352071000001,"BRA","Developing",71.246,78.062,22.6605,19.7111,12.7,16,12458.8912138813,52.7,193.843,92.895,7.9766016,7.09350573251178,7.55745233493233,7.43285338868316,7.90608126162619,8.03647489760226,8.52950271514761,8.30859390254471,8.76918236228175,8.27843100561927,8.6308300412343,8.62000939037624,8.87099243247886,8.44362943136736,8.56641454306241,7.59357242776039,7.61087941489497,6.82640051293908,6.77401471748647,6.42335731305968,6.30770072895176,5.86888853143886,5.68484358137569,4.92490136919969,4.66369450582454,3.94613097757504,3.61069400445374,2.85857832703893,2.54711544285563,2.14917326803038,1.83006049308758,1.57014156988518,1.14776923640719,1.625357954368,0.992772183898978,6.816,2.9494,44.51945496,12.6378990031684,268.850380508568,30.6846289998878,50.0007142753641,274.641921633159,10.9668175696624,406.286797695431,6.816,2.9494,9.43018980073183,3.96461545554732,"BRA",0.762
"Brésil",2014,65.62459321,62.0320852,3.59250801,"BRA","Developing",71.462,78.273,22.7941,19.8197,12.4,15.6,12274.9939689363,52,190.816,91.345,8.39644146,7.01488687503926,7.48067370631035,7.27715220302006,7.74930246305106,7.81723514591652,8.30646647814635,8.24930792026831,8.71796160337287,8.14748962818715,8.50654627007826,8.47554845861883,8.73440491701061,8.45748939509051,8.59795703071018,7.6924914040675,7.71711039567788,6.88888727564942,6.83897775472853,6.39594220230497,6.28262464970127,5.95401615636281,5.76933881144987,5.04943426654957,4.78668122858126,4.07403297487811,3.73164119587857,2.99468243348153,2.65170222771211,2.20033945192263,1.88623499332003,1.60776136751083,1.19968150002114,1.703302841132,1.04269477424967,6.81099999999999,2.9744,44.05274582,12.9530310747079,266.839969687989,31.5706250540136,51.4294379603622,279.374850167638,10.8179180597282,401.145850014626,6.81099999999999,2.9744,9.41531946133358,3.95124371858143,"BRA",0.765
"Brésil",2015,65.65093832,62.17193655,3.47900177,"BRA","Developing",71.818,78.472,22.8928,19.9763,12.1,15.2,8936.19661712113,51.9,185.465,89.318,8.90929985,6.95249396823548,7.42063507026013,7.12637372247142,7.59673104805316,7.61976384931175,8.10607482799026,8.15763076586851,8.63221992115704,8.04671281965602,8.41178502470695,8.31817203807984,8.58472347623589,8.43620344955361,8.59333399864472,7.79541413349258,7.82881399814084,6.95647876260106,6.91019024801151,6.37846024303416,6.2676856176466,6.01752289813154,5.83277189631122,5.17094118878925,4.90709605301836,4.19310860082453,3.84699162932206,3.14708587643757,2.77066678886412,2.25726454436107,1.94222156709731,1.64802935339801,1.25436232788099,1.77834378575359,1.09369650665884,6.654,2.9165,43.25645828,12.9576351567752,270.992450464814,33.0600319912911,53.4925986470363,290.248279888785,11.2820214097575,394.571728823078,6.654,2.9165,9.09786534331821,3.94931879017184,"BRA",0.764
"Brésil",2016,65.59333101,62.02352223,3.56980878,"BRA","Developing",71.716,78.539,22.9517,19.8433,13,16.1,8836.28652735657,53.4,185.917,89.504,9.16901684,6.88039037755294,7.35017624784433,6.99146442656913,7.46064259215114,7.44134665967326,7.92572754963096,8.03338641744769,8.51124099492335,7.97758483721481,8.34947454627722,8.15648329733627,8.43082557164503,8.38569107338746,8.5580534990434,7.89196352685616,7.9368361421542,7.03375301540081,6.9932428045682,6.38232304822302,6.27445266717002,6.05744764643842,5.87357284231753,5.28748553956386,5.02278754343266,4.31437816101578,3.96537773812836,3.29890882740196,2.89701136940967,2.32567366528066,1.99543488985803,1.68961125185767,1.30784959934722,1.85210822878013,1.14729340209867,6.82300000000001,3.1084,43.05796051,12.9603421126523,275.153641567326,34.7836840969562,54.2972755394795,299.139078770044,11.1510279285763,389.530443813342,6.82300000000001,3.1084,9.08662199128412,3.97781074596615,"BRA",0.765
"Brésil",2017,65.89755108,62.39000625,3.50754483,"BRA","Developing",72.069,78.781,23.0404,20.0293,11.7,14.7,10080.5092819305,53.3,178.99,85.377,9.47125053,6.80093305871817,7.27169013465845,6.87922780147734,7.34850714446012,7.27710594095075,7.76009519085559,7.87638622390728,8.35489497141576,7.93311864484725,8.31195461293067,7.99950616058451,8.281190284896,8.30462740656492,8.49002336529551,7.9735813270187,8.03270837416494,7.1205212769529,7.0870848598482,6.41286815991439,6.30860355113661,6.07240806159577,5.89075670034268,5.39870519899203,5.13385571751435,4.43650569308506,4.08450426514278,3.44535247443542,3.02780788823905,2.41127663385624,2.05332001355997,1.73276334025162,1.35901400529141,1.92511259684765,1.20398892024793,6.712,3.0111,41.73838425,13.428393926002,269.655527518979,36.2587860610873,53.883949102221,303.839650219801,12.5314303242876,372.996487683811,6.712,3.0111,9.21835906435011,3.9759363311718,"BRA",0.77
"Brésil",2018,66.06457216,62.72618106,3.3383911,"BRA","Developing",72.365,78.977,23.1461,20.0207,11.6,14.5,9300.66164923219,53.9,173.671,83.265,9.46475029,6.73107104190988,7.20313943730344,6.79039883090475,7.2606184343643,7.1284603377271,7.61071549964735,7.68142477988466,8.15878309791874,7.89646366187165,8.28303974375562,7.85652311000215,8.14570251903943,8.19309925604822,8.38873843512472,8.02993120199492,8.10572348121551,7.21515983621224,7.18885920692806,6.46995103182456,6.36928327512433,6.06581849486799,5.88728504430287,5.5038265248729,5.23926911367864,4.56100681630768,4.20613062247181,3.5850051149449,3.15429448798011,2.51641225527281,2.12752167519158,1.77793999042897,1.40812229972356,1.99750771492462,1.26277362622996,6.61200000000001,3.1254,41.09182358,13.6462391262033,272.273716150427,36.3367732997202,53.5890675525782,310.789310984922,12.603471423499,358.377227119983,6.61200000000001,3.1254,9.13784082168939,3.98713047791495,"BRA",0.774
"Brésil",2019,66.07421869,62.96217764,3.11204105,"BRA","Developing",72.653,79.023,23.1638,20.0079,11.5,14.4,9029.83326681073,53.5,167.856,82.86,9.61449146,6.6417752306513,7.11334369409871,6.72547452048307,7.19761812029269,6.98992778469523,7.47136518342477,7.48180307859604,7.95833422467098,7.84991289851452,8.2462046712767,7.74156367555124,8.03871691102093,8.06697597576376,8.27246132732018,8.05611452618216,8.15064023984498,7.32123979118463,7.30304755738354,6.54096536641847,6.44440245108922,6.05131874480017,5.87645041492272,5.59544924896525,5.33095177691923,4.68657834174089,4.32888278507823,3.71015223215102,3.26948432476999,2.64513021913938,2.22159145282613,1.82637887034221,1.45498665379125,2.06923949482065,1.32151821126974,6.36999999999999,3.1559,40.74077988,13.930539915131,276.302014907521,37.7485084257317,52.4781081376971,318.242542885205,13.3624203449579,349.749152541265,6.36999999999999,3.1559,9.10828918187852,3.97968165390196,"BRA",0.776
