Année,Pays,Code Pays,"Espérance de vie à la naissance, hommes (années)",Dépenses publiques générales de santé (% des dépenses courantes de santé)
2007,Chine,CHN,72.326,39.02609253
2007,Chili,CHL,75.996,42.25885391
2007,Corée du Sud,KOR,75.9,54.95320511
2007,Côte d'Ivoire,CIV,52.353,16.20634651
2007,Espagne,ESP,77.8,72.30304718
2007,France,FRA,77.6,71.09663391
2007,Inde,IND,64.373,20.89888573
2007,Indonésie,IDN,66.138,36.07474518
2007,Iran,IRN,71.252,39.82310104
2007,Japon,JPN,79.19,81.24928284
2007,Maroc,MAR,67.954,29.45763969
2007,Mexique,MEX,71.425,43.81832123
2007,Nigeria,NGA,49.835,19.91349602
2007,Pérou,PER,70.697,48.6721344
2007,Royaume-Uni,GBR,77.4,80.55930328
2007,Russie,RUS,61.46,62.05422592
2007,Sénégal,SEN,60.974,38.61841202
2007,Suède,SWE,78.9,82.51585388
2007,Suisse,CHE,79.4,30.71067238
2007,Togo,TGO,55.955,16.17987823
2007,Turquie,TUR,70.975,68.78373718
2007,États-Unis,USA,75.5,46.34019089
2008,Afrique du Sud,ZAF,53.511,47.35287857
2008,Allemagne,DEU,77.2,75.27427673
2008,Brésil,BRA,69.733,43.74353027
2008,Canada,CAN,78.51,69.83197021
2008,Chine,CHN,72.361,44.5223999
2008,Chili,CHL,76.165,43.52520752
2008,Corée du Sud,KOR,76.2,54.07963181
2008,Côte d'Ivoire,CIV,52.856,16.41953278
2008,Espagne,ESP,78.2,73.28400421
2008,France,FRA,77.8,70.62645721
2008,Inde,IND,64.778,22.62734604
2008,Indonésie,IDN,66.296,35.23404312
2008,Iran,IRN,71.682,37.07612228
2008,Japon,JPN,79.29,81.17062378
2008,Maroc,MAR,68.413,31.03666687
2008,Mexique,MEX,71.249,45.91357803
2008,Nigeria,NGA,50.293,17.87425423
2008,Pérou,PER,70.597,48.09112167
2008,Royaume-Uni,GBR,77.6,81.30020142
2008,Russie,RUS,61.92,62.62738037
2008,Sénégal,SEN,61.457,39.55493164
2008,Suède,SWE,79.1,82.50144958
2008,Suisse,CHE,79.7,31.60577965
2008,Togo,TGO,56.282,16.04459
2008,Turquie,TUR,71.246,72.69304657
2008,États-Unis,USA,75.6,47.49167633
2009,Afrique du Sud,ZAF,54.816,49.73912811
2009,Allemagne,DEU,77.3,75.65245056
2009,Brésil,BRA,70.076,44.16326523
2009,Canada,CAN,78.91,70.27241516
2009,Chine,CHN,72.801,49.39831543
2009,Chili,CHL,76.424,46.86124802
2009,Corée du Sud,KOR,76.7,55.21017838
2009,Côte d'Ivoire,CIV,53.325,18.04951096
2009,Espagne,ESP,78.5,75.07225037
2009,France,FRA,78,70.67965698
2009,Inde,IND,65.203,25.6102047
2009,Indonésie,IDN,66.495,35.13375854
2009,Iran,IRN,72.074,36.65011978
2009,Japon,JPN,79.59,81.29418182
2009,Maroc,MAR,68.844,32.63605118
2009,Mexique,MEX,71.099,46.66847229
2009,Nigeria,NGA,50.585,15.92125893
2009,Pérou,PER,70.471,50.36197662
2009,Royaume-Uni,GBR,78.1,82.75730896
2009,Russie,RUS,62.87,62.06686401
2009,Sénégal,SEN,61.781,36.61406708
2009,Suède,SWE,79.4,82.51391602
2009,Suisse,CHE,79.8,32.14887238
2009,Togo,TGO,56.571,17.3802681
2009,Turquie,TUR,71.555,80.49878693
2009,États-Unis,USA,76,48.59148026
2010,Afrique du Sud,ZAF,56.197,51.32851791
2010,Allemagne,DEU,77.5,75.68952179
2010,Brésil,BRA,70.392,45.02125168
2010,Canada,CAN,79.21,69.93920898
2010,Chine,CHN,73.191,51.90623093
2010,Chili,CHL,76.607,47.10449982
2010,Corée du Sud,KOR,76.8,55.44929504
2010,Côte d'Ivoire,CIV,53.814,18.36027718
2010,Espagne,ESP,78.7,74.44487
2010,France,FRA,78.2,70.44328308
2010,Inde,IND,65.644,26.20631409
2010,Indonésie,IDN,66.571,23.68755341
2010,Iran,IRN,72.462,32.35562897
2010,Japon,JPN,79.55,81.92724609
2010,Maroc,MAR,69.238,32.13038635
2010,Mexique,MEX,71.121,50.21874619
2010,Nigeria,NGA,50.853,13.60430336
2010,Pérou,PER,70.704,51.89738464
2010,Royaume-Uni,GBR,78.5,82.1092453
2010,Russie,RUS,63.09,61.37906647
2010,Sénégal,SEN,62.264,28.84072113
2010,Suède,SWE,79.5,82.48825073
2010,Suisse,CHE,80.1,33.40800095
2010,Togo,TGO,56.887,25.92962646
2010,Turquie,TUR,71.903,77.99839783
2010,États-Unis,USA,76.2,48.96047974
2011,Afrique du Sud,ZAF,57.735,51.8671875
2011,Allemagne,DEU,77.9,75.41264343
2011,Brésil,BRA,70.654,44.49915695
2011,Canada,CAN,79.39,70.28756714
2011,Chine,CHN,73.334,53.72208786
2011,Chili,CHL,76.882,47.15742111
2011,Corée du Sud,KOR,77.3,54.83106613
2011,Côte d'Ivoire,CIV,54.445,13.18704987
2011,Espagne,ESP,79.5,73.48394775
2011,France,FRA,78.7,70.20536041
2011,Inde,IND,66.094,28.87308502
2011,Indonésie,IDN,66.793,23.47972488
2011,Iran,IRN,72.826,33.35521317
2011,Japon,JPN,79.44,83.74062347
2011,Maroc,MAR,69.605,33.68819046
2011,Mexique,MEX,71.292,52.8038826
2011,Nigeria,NGA,51.108,14.43568802
2011,Pérou,PER,71.221,50.9587326
2011,Royaume-Uni,GBR,79,81.89524078
2011,Russie,RUS,64.04,62.65058899
2011,Sénégal,SEN,62.785,31.05285454
2011,Suède,SWE,79.9,84.48171234
2011,Suisse,CHE,80.5,33.81782913
2011,Togo,TGO,57.308,23.51516342
2011,Turquie,TUR,71.758,79.12835693
2011,États-Unis,USA,76.3,49.13611984
2012,Afrique du Sud,ZAF,58.714,51.72668076
2012,Allemagne,DEU,78.1,75.43839264
2012,Brésil,BRA,70.945,43.36180878
2012,Canada,CAN,79.61,70.57069397
2012,Chine,CHN,73.624,55.7352562
2012,Chili,CHL,76.901,47.93560791
2012,Corée du Sud,KOR,77.6,54.76087189
2012,Côte d'Ivoire,CIV,55.013,16.85137749
2012,Espagne,ESP,79.5,72.11362457
2012,France,FRA,78.7,70.29095459
2012,Inde,IND,66.544,27.98948097
2012,Indonésie,IDN,67.002,26.32730865
2012,Iran,IRN,73.184,34.30874634
2012,Japon,JPN,79.94,83.93068695
2012,Maroc,MAR,69.94,34.34552383
2012,Mexique,MEX,71.5,53.0821228
2012,Nigeria,NGA,51.345,16.20215034
2012,Pérou,PER,71.822,52.48008347
2012,Royaume-Uni,GBR,79.1,81.02267456
2012,Russie,RUS,64.56,63.70746231
2012,Sénégal,SEN,63.209,28.5742054
2012,Suède,SWE,79.9,84.21655273
2012,Suisse,CHE,80.6,34.53272247
2012,Togo,TGO,57.608,25.1240921
2012,Turquie,TUR,72.477,79.17140961
2012,États-Unis,USA,76.4,48.84739304
2013,Afrique du Sud,ZAF,59.233,51.15374756
2013,Allemagne,DEU,78.1,76.41500092
2013,Brésil,BRA,71.246,44.51945496
2013,Canada,CAN,79.74,70.96649933
2013,Chine,CHN,73.881,57.05029297
2013,Chili,CHL,77.302,47.6493454
2013,Corée du Sud,KOR,78.1,55.0239563
2013,Côte d'Ivoire,CIV,55.462,19.57717896
2013,Espagne,ESP,80.2,71.01255035
2013,France,FRA,79,70.22327423
2013,Inde,IND,66.97,23.0712204
2013,Indonésie,IDN,67.16,28.4687748
2013,Iran,IRN,73.509,38.49046707
2013,Japon,JPN,80.21,84.26091003
2013,Maroc,MAR,70.381,34.77407074
2013,Mexique,MEX,71.721,53.75115967
2013,Nigeria,NGA,51.466,14.30348778
2013,Pérou,PER,72.401,56.08006287
2013,Royaume-Uni,GBR,79.2,79.57145691
2013,Russie,RUS,65.13,62.38064194
2013,Sénégal,SEN,63.613,26.69496155
2013,Suède,SWE,80.2,84.02001953
2013,Suisse,CHE,80.7,33.6593895
2013,Togo,TGO,58.029,20.06999588
2013,Turquie,TUR,73.118,78.34962463
2013,États-Unis,USA,76.4,49.52059937
2014,Afrique du Sud,ZAF,59.91,55.56298065
2014,Allemagne,DEU,78.7,77.02052307
2014,Brésil,BRA,71.462,44.05274582
2014,Canada,CAN,79.76,70.80599213
2014,Chine,CHN,74.119,58.4154892
2014,Chili,CHL,77.414,47.73588562
2014,Corée du Sud,KOR,78.6,54.91963959
2014,Côte d'Ivoire,CIV,56.268,20.84157753
2014,Espagne,ESP,80.4,70.27007294
2014,France,FRA,79.5,70.24649811
2014,Inde,IND,67.416,23.66404152
2014,Indonésie,IDN,67.353,33.48835373
2014,Iran,IRN,73.802,50.37070847
2014,Japon,JPN,80.5,84.11785889
2014,Maroc,MAR,70.796,38.73244095
2014,Mexique,MEX,71.877,52.08169937
2014,Nigeria,NGA,51.565,13.3177433
2014,Pérou,PER,73.07,59.86446381
2014,Royaume-Uni,GBR,79.5,80.16641998
2014,Russie,RUS,65.29,61.7865448
2014,Sénégal,SEN,64.041,24.60432434
2014,Suède,SWE,80.4,84.02825928
2014,Suisse,CHE,81.1,33.79611588
2014,Togo,TGO,58.47,20.35354614
2014,Turquie,TUR,73.443,77.60512543
2014,États-Unis,USA,76.5,50.78931427
2015,Afrique du Sud,ZAF,60.802,57.07562637
2015,Allemagne,DEU,78.3,76.97098541
2015,Brésil,BRA,71.818,43.25645828
2015,Canada,CAN,79.86,70.9001236
2015,Chine,CHN,74.365,60.1810112
2015,Chili,CHL,77.689,48.01672745
2015,Corée du Sud,KOR,79,54.7726059
2015,Côte d'Ivoire,CIV,56.731,24.98393059
2015,Espagne,ESP,80.1,71.32117462
2015,France,FRA,79.2,72.0532074
2015,Inde,IND,67.827,25.64012909
2015,Indonésie,IDN,67.584,39.59934235
2015,Iran,IRN,74.072,48.96747589
2015,Japon,JPN,80.75,84.08298492
2015,Maroc,MAR,71.172,38.83265686
2015,Mexique,MEX,71.883,52.20096588
2015,Nigeria,NGA,51.626,16.44574738
2015,Pérou,PER,73.556,61.22732925
2015,Royaume-Uni,GBR,79.2,80.3903656
2015,Russie,RUS,65.92,58.71852493
2015,Sénégal,SEN,64.589,24.62842751
2015,Suède,SWE,80.4,83.96099091
2015,Suisse,CHE,80.8,33.60396957
2015,Togo,TGO,58.923,14.86722469
2015,Turquie,TUR,73.481,78.13336182
2015,États-Unis,USA,76.3,51.39220428
2016,Afrique du Sud,ZAF,61.332,56.59904099
2016,Allemagne,DEU,78.6,77.31024933
2016,Brésil,BRA,71.716,43.05796051
2016,Canada,CAN,79.94,69.8986969
2016,Chine,CHN,74.575,58.1014328
2016,Chili,CHL,78.008,49.65286255
2016,Corée du Sud,KOR,79.3,55.77734375
2016,Côte d'Ivoire,CIV,57.176,25.68556023
2016,Espagne,ESP,80.5,71.55826569
2016,France,FRA,79.5,74.8493576
2016,Inde,IND,68.231,26.83841324
2016,Indonésie,IDN,67.781,45.52692032
2016,Iran,IRN,74.302,44.92891693
2016,Japon,JPN,80.98,84.03720856
2016,Maroc,MAR,71.501,39.37893295
2016,Mexique,MEX,71.738,51.27971649
2016,Nigeria,NGA,51.939,13.0209322
2016,Pérou,PER,73.803,62.12892532
2016,Royaume-Uni,GBR,79.4,80.98995209
2016,Russie,RUS,66.5,56.95004654
2016,Sénégal,SEN,64.939,25.09403038
2016,Suède,SWE,80.6,84.2623291
2016,Suisse,CHE,81.7,33.75424576
2016,Togo,TGO,59.414,14.8777132
2016,Turquie,TUR,73.49,78.44212341
2016,États-Unis,USA,76.1,51.22367477
2017,Afrique du Sud,ZAF,61.98,57.23299789
2017,Allemagne,DEU,78.7,77.67327881
2017,Brésil,BRA,72.069,41.73838425
2017,Canada,CAN,79.73,69.67433167
2017,Chine,CHN,74.448,56.67334747
2017,Chili,CHL,78.401,50.39948273
2017,Corée du Sud,KOR,79.7,56.62443924
2017,Côte d'Ivoire,CIV,57.622,28.72467422
2017,Espagne,ESP,80.6,70.51345062
2017,France,FRA,79.6,75.59355927
2017,Inde,IND,68.61,32.94804382
2017,Indonésie,IDN,67.971,46.47950745
2017,Iran,IRN,74.546,46.04753494
2017,Japon,JPN,81.09,84.21469116
2017,Maroc,MAR,71.787,39.70824814
2017,Mexique,MEX,71.5,50.53536606
2017,Nigeria,NGA,52.145,14.2133503
2017,Pérou,PER,73.773,62.73608398
2017,Royaume-Uni,GBR,79.5,80.54899597
2017,Russie,RUS,67.51,57.08874893
2017,Sénégal,SEN,65.276,24.27260017
2017,Suède,SWE,80.8,84.70674133
2017,Suisse,CHE,81.6,33.69115067
2017,Togo,TGO,59.858,16.14229012
2017,Turquie,TUR,73.957,77.71027374
2017,États-Unis,USA,76.1,51.20405197
2018,Afrique du Sud,ZAF,62.296,57.04348755
2018,Allemagne,DEU,78.6,77.33882904
