Code_Pays;Pays;Années;IDH
SWE;Suède;2009;0.912
SWE;Suède;2010;0.918
SWE;Suède;2011;0.92
SWE;Suède;2012;0.92
SWE;Suède;2013;0.94
SWE;Suède;2014;0.943
SWE;Suède;2015;0.945
SWE;Suède;2016;0.947
SWE;Suède;2017;0.949
SWE;Suède;2018;0.95
SWE;Suède;2019;0.955
SWE;Suède;2020;0.951
SWE;Suède;2021;0.958
SEN;Sénégal;2000;0.398
SEN;Sénégal;2001;0.404
SEN;Sénégal;2002;0.409
SEN;Sénégal;2003;0.416
SEN;Sénégal;2004;0.423
SEN;Sénégal;2005;0.43
SEN;Sénégal;2006;0.438
SEN;Sénégal;2007;0.45
SEN;Sénégal;2008;0.462
SEN;Sénégal;2009;0.47
SEN;Sénégal;2010;0.477
SEN;Sénégal;2011;0.491
SEN;Sénégal;2012;0.499
SEN;Sénégal;2013;0.504
SEN;Sénégal;2014;0.508
SEN;Sénégal;2015;0.509
SEN;Sénégal;2016;0.516
SEN;Sénégal;2017;0.517
SEN;Sénégal;2018;0.522
SEN;Sénégal;2019;0.52
SEN;Sénégal;2020;0.522
SEN;Sénégal;2021;0.522
TGO;Togo;2000;0.448
TGO;Togo;2001;0.452
TGO;Togo;2002;0.455
TGO;Togo;2003;0.46
TGO;Togo;2004;0.461
TGO;Togo;2005;0.46
TGO;Togo;2006;0.465
TGO;Togo;2007;0.458
TGO;Togo;2008;0.465
TGO;Togo;2009;0.473
TGO;Togo;2010;0.483
TGO;Togo;2011;0.495
TGO;Togo;2012;0.5
TGO;Togo;2013;0.507
TGO;Togo;2014;0.514
TGO;Togo;2015;0.523
TGO;Togo;2016;0.528
TGO;Togo;2017;0.534
TGO;Togo;2018;0.542
TGO;Togo;2019;0.549
TGO;Togo;2020;0.554
TGO;Togo;2021;0.56
TUR;Turquie;2000;0.669
TUR;Turquie;2001;0.675
TUR;Turquie;2002;0.685
TUR;Turquie;2003;0.691
TUR;Turquie;2004;0.696
TUR;Turquie;2005;0.701
TUR;Turquie;2006;0.711
TUR;Turquie;2007;0.719
TUR;Turquie;2008;0.721
TUR;Turquie;2009;0.728
TUR;Turquie;2010;0.75
TUR;Turquie;2011;0.764
TUR;Turquie;2012;0.772
TUR;Turquie;2013;0.802
TUR;Turquie;2014;0.813
TUR;Turquie;2015;0.821
TUR;Turquie;2016;0.826
TUR;Turquie;2017;0.833
TUR;Turquie;2018;0.838
TUR;Turquie;2019;0.841
TUR;Turquie;2020;0.838
TUR;Turquie;2021;0.841
USA;États-Unis;2000;0.895
USA;États-Unis;2001;0.897
USA;États-Unis;2002;0.898
USA;États-Unis;2003;0.9
USA;États-Unis;2004;0.905
USA;États-Unis;2005;0.907
