Pays,Années,HALE_femmes,HALE_hommes,HALE_WMGap
Pérou,2003,66.78425862,66.22336506,0.5608935599999967
Pérou,2004,67.40646944,66.6476734,0.7587960399999929
Pérou,2005,67.79460057,67.1393997,0.6552008700000016
Pérou,2006,68.34069888,67.52578368,0.8149152000000015
Pérou,2007,68.89678619,67.91780248,0.9789837099999943
Pérou,2008,69.02323246,68.16902961,0.8542028500000072
Pérou,2009,68.50417493,67.6543052,0.8498697300000089
Pérou,2010,68.64210168,67.73293114,0.909170539999991
Pérou,2011,68.9935197,68.08445309,0.9090666099999964
Pérou,2012,69.26881413,68.42249427,0.8463198599999942
Pérou,2013,69.59088326,68.8360075,0.7548757600000044
Pérou,2014,69.9973781,69.23381433,0.7635637700000046
Pérou,2015,70.32450313,69.44075909,0.8837440399999963
Pérou,2016,70.25883911,69.29344256,0.9653965499999941
Pérou,2017,69.54526741,68.83623227,0.7090351399999975
Pérou,2018,69.26663098,68.58257469,0.6840562900000009
Pérou,2019,68.85956279,67.96621623,0.8933465599999977
Pérou,2020,66.02418509,62.18211934,3.8420657500000033
Pérou,2021,64.54779803,61.61270779,2.935090239999994
Corée du Sud,2000,68.95858941,64.04444161,4.914147799999995
Corée du Sud,2001,69.44568406,64.63695076,4.8087333
Corée du Sud,2002,69.62148702,65.05457952,4.566907499999999
Corée du Sud,2003,69.9651613,65.44162116,4.523540140000009
Corée du Sud,2004,70.30661192,65.84802294,4.458588979999988
Corée du Sud,2005,70.51829559,66.27899234,4.239303249999992
Corée du Sud,2006,70.96189575,66.74016468,4.22173106999999
Corée du Sud,2007,71.22726322,67.06990418,4.157359040000003
Corée du Sud,2008,71.68241326,67.40381483,4.278598430000002
Corée du Sud,2009,72.00079747,67.73872283,4.2620746399999945
Corée du Sud,2010,72.16236874,67.88569784,4.276670899999999
Corée du Sud,2011,72.43617333,68.21768755,4.218485780000009
Corée du Sud,2012,72.51831647,68.42316939,4.095147080000004
Corée du Sud,2013,72.82530182,68.86011426,3.965187560000004
Corée du Sud,2014,73.11212185,69.22524496,3.8868768899999964
Corée du Sud,2015,73.21460492,69.48949209,3.7251128300000005
Corée du Sud,2016,73.43450604,69.7949725,3.639533540000002
Corée du Sud,2017,73.73307918,70.14515954,3.5879196400000097
Corée du Sud,2018,73.81780459,70.25041123,3.567393359999997
Corée du Sud,2019,74.18892536,70.6243299,3.5645954599999925
Corée du Sud,2020,74.15522175,70.65481327,3.50040847999999
Corée du Sud,2021,74.07038296,70.65580786,3.4145751000000075
Russie,2000,62.01327471,51.90139484,10.111879869999996
Russie,2001,61.97045636,51.9145247,10.055931659999999
Russie,2002,61.80935363,51.85125723,9.958096399999995
Russie,2003,61.76914177,51.79343053,9.975711239999995
Russie,2004,62.13049528,52.12225091,10.00824437
Russie,2005,62.21322245,52.18759818,10.025624270000002
Russie,2006,62.88380511,53.43335269,9.450452419999998
Russie,2007,63.43486436,54.32075256,9.114111799999996
Russie,2008,63.66218612,54.74009726,8.922088860000002
Russie,2009,64.05689801,55.53399991,8.522898099999999
Russie,2010,64.21989469,55.83374614,8.386148550000001
Russie,2011,64.8251509,56.6848581,8.140292799999997
Russie,2012,65.05703468,57.15760165,7.899433030000004
Russie,2013,65.416466,57.6715135,7.744952499999997
Russie,2014,65.46108537,57.74646476,7.714620610000004
Russie,2015,65.74797532,58.44291963,7.305055689999996
Russie,2016,65.92647711,58.82244457,7.1040325399999915
Russie,2017,66.42446186,59.690772,6.733689859999991
Russie,2018,66.5258957,59.88462147,6.641274230000008
Russie,2019,66.84167586,60.40777743,6.433898429999992
Russie,2020,65.29588508,59.02108931,6.274795770000004
Russie,2021,63.62489832,58.16263545,5.462262869999996
Sénégal,2000,51.36977265,50.56632881,0.8034438399999999
Sénégal,2001,51.92903407,51.1866464,0.7423876699999994
Sénégal,2002,52.47430254,51.53861457,0.9356879699999965
Sénégal,2003,53.16889064,52.54167649,0.6272141500000004
Sénégal,2004,53.83135763,53.23993297,0.5914246600000013
Sénégal,2005,54.49055308,53.93447784,0.5560752399999984
Sénégal,2006,55.13091958,54.50760432,0.6233152599999983
Sénégal,2007,55.86514946,55.19498707,0.6701623899999944
Sénégal,2008,56.50425265,55.76696399,0.7372886599999973
Sénégal,2009,56.97254217,56.24330598,0.7292361899999946
Sénégal,2010,57.34923552,56.64328635,0.7059491700000038
Sénégal,2011,57.69244326,57.02846695,0.6639763099999954
Sénégal,2012,57.9487753,57.38725791,0.5615173899999988
Sénégal,2013,58.19502144,57.73187721,0.4631442299999975
Sénégal,2014,58.53281935,58.12883791,0.4039814399999955
Sénégal,2015,58.87293341,58.46902805,0.4039053600000031
Sénégal,2016,59.21163129,58.81336709,0.39826419999999985
Sénégal,2017,59.52727649,59.09265337,0.4346231199999977
Sénégal,2018,59.80396668,59.36876638,0.4352003000000053
Sénégal,2019,60.10558187,59.62043743,0.4851444399999991
Sénégal,2020,60.03114146,59.19714305,0.8339984099999995
Sénégal,2021,59.18867755,58.5845999,0.6040776500000007
Afrique du Sud,2000,50.63426362,47.88619909,2.7480645300000006
Afrique du Sud,2001,49.27948773,47.13213569,2.1473520400000012
Afrique du Sud,2002,47.71744775,46.15431806,1.5631296899999967
Afrique du Sud,2003,46.34014077,45.27442452,1.0657162500000013
Afrique du Sud,2004,45.57532745,44.88128869,0.6940387600000051
Afrique du Sud,2005,45.38874216,44.67129516,0.717447
Afrique du Sud,2006,45.52262122,44.63327506,0.8893461599999952
Afrique du Sud,2007,46.30399158,45.13559818,1.1683933999999994
Afrique du Sud,2008,47.24857547,45.82370958,1.4248658899999995
Afrique du Sud,2009,48.45015919,46.81966431,1.6304948800000005
Afrique du Sud,2010,49.99567027,48.2041057,1.7915645699999985
Afrique du Sud,2011,51.74941978,49.65355765,2.0958621299999933
Afrique du Sud,2012,53.40247702,50.78840029,2.6140767300000007
Afrique du Sud,2013,54.61789967,51.66265157,2.9552480999999986
Afrique du Sud,2014,55.20921553,52.22079358,2.988421950000003
Afrique du Sud,2015,55.65311465,52.61353987,3.0395747800000024
Afrique du Sud,2016,56.20118628,53.08098857,3.1201977099999993
Afrique du Sud,2017,56.8950756,53.78171191,3.11336369
Afrique du Sud,2018,57.34303467,54.24615932,3.096875350000005
Afrique du Sud,2019,57.72860198,54.65424951,3.074352470000001
Afrique du Sud,2020,55.91991043,54.08950457,1.830405859999999
Afrique du Sud,2021,53.79634979,51.66905251,2.1272972800000005
Espagne,2000,70.70272405,67.05005975,3.652664299999998
Espagne,2001,70.9068673,67.31653511,3.590332189999998
Espagne,2002,70.94105956,67.41804478,3.523014779999997
