Années;Pays;Cancer_thyroïde;Cancer_Estomac;Cancer_Utérus;Cancer_Foie;Cancer_Sein;Cancer_Testicule;VIH/SIDA
2006;Brésil;11.020607118839091;265.21767590859935;25.51587299206933;39.18392578924239;234.07724066244657;8.992433289857901;411.43790368034297
2007;Brésil;11.1254147451486;265.4554713103206;26.406722202879664;40.21664578364459;238.0357262991367;9.154648154985871;410.2671916630554
2008;Brésil;11.291896657754055;262.8277861131888;26.83246142024463;41.63866308615496;246.57011144314035;9.570724932716155;412.9514364208134
2009;Brésil;11.437083017313867;262.79615715173844;26.94961501490863;43.74481903386095;250.41084631769152;9.479152200821591;412.4068495347917
2010;Brésil;11.775540306294635;264.95363272893707;27.606715391092;45.99408179587272;257.94502422667284;9.857453936112837;410.5033139030072
2011;Brésil;12.022832302764517;265.23403000474553;29.06487944878457;48.15052282146151;264.3693674107496;10.144349604888037;409.54156973099134
2012;Brésil;11.875259394750591;266.01231608439315;29.824905147939024;49.67316859505547;268.66170822051566;10.275436437037628;406.4752121835359
2013;Brésil;12.637899003168386;268.85038050856775;30.68462899988779;50.000714275364096;274.6419216331587;10.966817569662377;406.2867976954306
2014;Brésil;12.953031074707932;266.8399696879895;31.57062505401359;51.42943796036221;279.37485016763816;10.817918059728214;401.145850014626
2015;Brésil;12.957635156775185;270.99245046481445;33.06003199129115;53.49259864703631;290.24827988878485;11.282021409757492;394.57172882307816
2016;Brésil;12.960342112652311;275.1536415673257;34.7836840969562;54.29727553947953;299.13907877004425;11.15102792857628;389.53044381334183
2017;Brésil;13.428393926002004;269.655527518979;36.25878606108735;53.88394910222098;303.8396502198011;12.531430324287632;372.9964876838108
2018;Brésil;13.646239126203309;272.2737161504266;36.33677329972017;53.589067552578214;310.7893109849218;12.603471423498986;358.37722711998265
2019;Brésil;13.93053991513104;276.3020149075208;37.7485084257317;52.47810813769714;318.2425428852052;13.3624203449579;349.74915254126466
2020;Brésil;13.872180877051075;270.98760952889376;37.75645407972786;51.78037087450315;315.64630188882313;13.973206973260217;347.52432451701225
2021;Brésil;14.500074763117208;276.44505218464866;40.111945838378375;53.07447663205178;324.676791436104;13.72672186152253;342.51344387205324
2000;Canada;13.061176231885094;212.29714245579692;41.72748879248547;81.65460976141567;504.85725025243374;8.44446906923386;98.20773132254791
2001;Canada;13.111207034830525;205.90755744397427;42.3047996015179;85.42016105247906;507.71109977442217;7.898006613814396;94.28344720167672
2002;Canada;13.296174411050194;202.87183627460803;43.58477088981397;89.03863316747488;506.40847228245383;8.070000671723566;90.8943398129976
2003;Canada;13.45288446130447;202.4720071489594;45.47899879660273;93.2564456719644;500.4430172651392;8.198969985711715;88.40917961262355
2004;Canada;14.067771753570003;196.54154301981575;44.60275664046057;94.95546790916636;490.79443797736735;8.680801625978587;86.02049062698609
2005;Canada;13.92669172250808;192.9125915128559;44.24933482665073;101.53879656407577;481.92248289873265;8.62474301504641;84.37241912887006
2006;Canada;14.376459385705973;190.8306969344135;45.91178534976748;105.66806597024367;471.1290850039757;8.123386464031142;80.3414965497474
2007;Canada;14.829236010925912;185.49477437253552;49.308835211928255;112.87851597200002;472.13300588873074;7.628514152867828;76.10022525377886
2008;Canada;14.943916072293744;182.4173359885759;50.54535411723874;116.35019206383215;465.65755092799947;7.716184806536958;70.62904446095838
2009;Canada;15.130195272264272;176.07183676335436;52.92556370781231;119.9875509990573;450.04193926273086;7.530687602843901;65.26104520138882
2010;Canada;15.217244628118245;172.72493354243673;55.24392782794558;127.2396981817988;445.7113158889213;8.055880922938746;60.49770983033349
2011;Canada;14.932600586454194;169.54477796237592;56.93027299368248;134.6820427631746;436.69838220870554;7.723801277900784;55.68678828697376
2012;Canada;15.179436344016253;166.2454829547095;58.71636023770745;143.7673070112661;430.7717277151691;7.990617489105524;51.79051184799566
2013;Canada;15.88539279937986;163.32556270526845;59.53762998717465;151.28147432295324;421.9421183760632;7.606876598984129;48.14529342606345
